"filename", "language", "Markdown", "MS SQL", "Java", "XML", "comment", "blank", "total"
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/app/ClientApp.java", "Java", 0, 0, 9, 0, 2, 3, 14
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/mock/MockDataProvider.java", "Java", 0, 0, 9, 0, 1, 1, 11
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/auction/AuctionPageController.java", "Java", 0, 0, 18, 0, 6, 2, 26
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/CreateListingController.java", "Java", 0, 0, 59, 0, 11, 9, 79
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/strategy/ArtisticCreationStrategy.java", "Java", 0, 0, 65, 0, 6, 11, 82
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/strategy/CategoryDisplayStrategy.java", "Java", 0, 0, 11, 0, 47, 7, 65
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/strategy/LuxuryCollectibleStrategy.java", "Java", 0, 0, 103, 0, 13, 15, 131
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/strategy/PrecisionMechanicalStrategy.java", "Java", 0, 0, 65, 0, 6, 11, 82
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/productdetail/ProductDetailPageController.java", "Java", 0, 0, 18, 0, 6, 1, 25
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/create-listing-page.fxml", "XML", 0, 0, 0, 2, 1, 1, 4
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/page/auction/AuctionPageViewModelTest.java", "Java", 0, 0, 4, 0, 0, 1, 5
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/ArtisticCreationPayload.java", "Java", 0, 0, 18, 0, 6, 9, 33
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/CreateAuctionRequest.java", "Java", 0, 0, 9, 0, 4, 3, 16
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/ItemAttributesPayload.java", "Java", 0, 0, 2, 0, 8, 2, 12
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/LuxuryCollectiblePayload.java", "Java", 0, 0, 46, 0, 8, 19, 73
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/PrecisionMechanicalPayload.java", "Java", 0, 0, 18, 0, 8, 9, 35
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/serialization/ItemAttributesPayloadSerializer.java", "Java", 0, 0, 51, 0, 26, 7, 84
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/user/UserDto.java", "Java", 0, 0, 40, 0, 8, 7, 55
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/products/factory/ArtisticCreationFactory.java", "Java", 0, 0, -17, 0, 4, -3, -16
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/products/factory/ItemFactory.java", "Java", 0, 0, 0, 0, -2, 0, -2
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/products/factory/LuxuryCollectibleFactory.java", "Java", 0, 0, -10, 0, -6, -4, -20
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/products/factory/PrecisionMechanicalFactory.java", "Java", 0, 0, -17, 0, 2, -3, -18
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/products/serialization/ItemJsonDeserializer.java", "Java", 0, 0, 19, 0, 3, 2, 24
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/protocol/EventType.java", "Java", 0, 0, 2, 0, 0, 0, 2
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/users/Admin.java", "Java", 0, 0, 7, 0, 6, 3, 16
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/users/StandardUser.java", "Java", 0, 0, 11, 0, 8, 4, 23
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/users/User.java", "Java", 0, 0, 38, 0, 45, 8, 91
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/users/UserFactory.java", "Java", 0, 0, 56, 0, 39, 8, 103
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/users/serialization/UserJsonDeserializer.java", "Java", 0, 0, 48, 0, 3, 9, 60
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/utils/JsonMapper.java", "Java", 0, 0, 5, 0, 2, 0, 7
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/project_evaluation_final.md", "Markdown", 98, 0, 0, 0, 0, 28, 126
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/concurrency/DBExecutor.java", "Java", 0, 0, 12, 0, 33, 7, 52
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/controller/BaseController.java", "Java", 0, 0, 3, 0, 0, 0, 3
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/dao/AuctionDao.java", "Java", 0, 0, 16, 0, 2, 4, 22
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/dao/ItemDao.java", "Java", 0, 0, 0, 0, 2, -2, 0
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/dao/UserDao.java", "Java", 0, 0, 27, 0, 8, 2, 37
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/dao/impl/IAuctionDao.java", "Java", 0, 0, 3, 0, 4, 1, 8
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/dao/impl/IItemDao.java", "Java", 0, 0, 3, 0, 4, 1, 8
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/network/BroadcastBroker.java", "Java", 0, 0, 61, 0, 41, 15, 117
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/network/SocketServer.java", "Java", 0, 0, 59, 0, 12, 11, 82
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/services/AuctionService.java", "Java", 0, 0, 52, 0, 11, 8, 71
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/services/BidService.java", "Java", 0, 0, 2, 0, 0, 0, 2
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/services/ItemService.java", "Java", 0, 0, 16, 0, 3, 1, 20
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/main/java/com/auction/server/services/UserService.java", "Java", 0, 0, -3, 0, 0, 0, -3
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/resource/schema.sql", "MS SQL", 0, 8, 0, 0, 1, 1, 10
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/server/src/test/java/com/auction/server/services/BidServiceTest.java", "Java", 0, 0, 11, 0, 0, 0, 11
"Total", "-", 98, 8, 949, 2, 392, 219, 1668
